jfr cpu_and_mem_profiling.jfc
interval,time,overhead,file_size
0.017,48.3507698472,0.057137050123660216,4885478.4
0.016,47.865467925000004,0.04652645087001557,4837037.6
0.015,48.6618957218,0.06393947933691164,4888902.0
0.014,47.697869698800005,0.042862097747801836,5081185.4
0.013,49.5530693676,0.08342402285185878,5067503.4
0.012,47.8032834352,0.04516685456331008,5038060.0
0.011,46.788277645799994,0.022974855770825534,5080398.2
0.01,47.74196237540001,0.043826136215447495,5135319.8
0.009,47.0563991746,0.028837041686913933,5188779.8
0.008,47.841774064999996,0.046008410364236474,5289014.0
0.007,47.5592551958,0.039831442242856036,5366247.4
0.006,48.127914423200004,0.05226455840789376,5326919.6
0.005,48.835561096599996,0.06773648407137335,5647364.4
